key,code,instantiation_moment,heading,description,department,email,link
claim-01,C-1234,2020/07/29 15:30,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-02,C-0000,2020/07/29 23:59,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-03,C-0001,2020/07/29 23:59,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-04,C-9998,2020/07/29 23:59,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-05,C-9999,2020/07/29 23:59,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-06,C-1235,0001/01/01 00:00,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-07,C-1236,0001/01/01 00:01,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-08,C-1237,2022/07/29 23:58,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-09,C-1238,2022/07/29 23:59,Hello World, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-10,C-1239,2020/07/29 23:59,H, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-11,C-1240,2020/07/29 23:59,Hw, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-12,C-1241,2020/07/29 23:59,Optimize Response Time for High Traffic Period to Improve User Satisfactio, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-13,C-1242,2020/07/29 23:59,Optimize Response Time for High Traffic Period to Improve User Satisfaction, Esto es una descripcion de tamaño medio para probar el funcionamiento.,Marketing,claimer01@email.com,http://claiming.com
claim-14,C-1243,2020/07/29 15:30,Hello World,E,Marketing,claimer01@email.com,http://claiming.com
claim-15,C-1244,2020/07/29 15:30,Hello World,Es,Marketing,claimer01@email.com,http://claiming.com
claim-16,C-1245,2020/07/29 15:30,Hello World,Upgrade server infrastructure to ensure high availability and rapid response times during peak usag,Marketing,claimer01@email.com,http://claiming.com
