key,code,moment,start-duration,end-duration,amount,type,email,link,draft-mode,key:project,key:sponsor
sponsorship-01,ABC-123,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-02,AAA-000,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-03,AAA-001,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-04,ZZZ-998,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-05,ZZZ-999,2020/07/29 15:30,2020/07/29 15:31,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-06,ABC-124,2000/01/01 00:00,2000/01/01 00:00,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-07,ABC-125,2000/01/01 00:01,2000/01/01 00:01,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-08,ABC-126,2022/07/29 23:59,2022/07/29 23:59,2022/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-09,ABC-127,2022/07/30 00:00,2022/07/30 00:00,2022/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
sponsorship-09-01,AZC-127,2020/02/29 10:00,2020/02/29 10:01,2020/10/29 15:30,EUR 1500.50,Financial,mysponsorship@email.com,http://www.sponsorshipopportunity.com,false,project-01,sponsor-01
